â,آ
sûinazar,سوء نظر
sûiniyet,سوء نيت
sûizan,سوء ظن
sûk,سوق
sukût,سقوط
sulb,صلب
sulehâ,صلحا
sulh,صلح
sulhâmîz,صلح آميز
sulhen,صلحا
sulta,سلطه
sultân,سلطان
sun',صنع
sun'î,صنعى
sunûf,صنوف
sûr,سور
sûr,صور
sûr,سور
sûrâh,سوراخ
surahî,صراحى
sûret,صورت
sûretâ,صورتا
sûretger,صورتگر
sûrnâ,سورنا
surre,صره
sûsen,سوسن
sûsmâr,سوسمار
sutûh,سطوح
sutûr,سطور
su'ûbet,صعوبت
suver,صور
sûy,سوی
sûz,سوز
sûzân,سوزان
sûzen,سوزن
sûzende,سوزنده
sûziş,سوزش
sûznâk,سوزناک
sübhan,سبحان
sübhânî,سبحانى
sübût,ثبوت
sücûd,سجود
südde,سده
süedâ,سؤدا
süfehâ,سفها
süferâ,سفرا
süflî,سفلى
süfte,سفته
süfün,سفن
sügur,ثغور
sühan,سخن
sühandan,سخندان
sühanperdaz,سخن پرداز
sühûlet,سهولت
sühûnet,سخونت
sükkân,سكان
sükker,سكر
sükûn,سكون
sükûnet,سكونت
sükût,سكوت
sülâle,سلاله
sülâsâ,ثلثا
süllem,سلم
süls,ثلث
sülûk,سلوک
sülüsân,ثلثلان
süm,سم
sümpâre,سم پاره
sümûm,سموم
sünbâde,سنباده
sünbül,سنبل
sünbüle,سنبله
sünen,سنن
sünûhat,سنوحات
sürâdık,سرادق
sürb,سرب
süreyya,ثریا
sürfe,سرفه
sürh,سرخ
sürmedan,سرمه دان
sürûd,سرود
sürur,سرور
sürûrengîz,سرور  انگيز
sürûş,سروش
süst,سست
sütre,ستره
sütûde,ستوده
sütûn,ستون
sütur,ستور
süvar,سوار
süvârî,سواری
süyûf,سيوف
şâd,شاد
şâdân,شادان
şâdî,شادی
şâdmân,شادمان
şâdmânî,شادمانى
şâdurvan,شادروان
şafak,شفق
şâfi',شافع
şâgird,شاگرد
şâgirdân,شاگردان
şâh,شاخ
şâh,شاه
şahâdet,شهادت
şahâdetname,شهادت نامه
şâhân,شاهان
şâhâne,شاهانه
şahbal,شاهبال
şâhenşâh,شاهنشاه
şâheser,شاه اثر
şâhî,شاهى
şâhid,شاهد
şâhika,شاهقه
şahin,شاهين
şâhkâr,شاهكار
şahne,شحنه
şâhnişin,شاهنشين
şâhrah,شاهراه
şâhreg,شاهرگ
şahs,شخص
şâhsâr,شاخسار
şahsen,شخصا
şahsî,شخصى
şahsiyet,شخصيت
şahsüvar,شاه سوار
şahvar,شاهوار
şâhzade,شاهزاده
şâibe,شائبه
şaîr,شعير
şâir,شاعر
şâiran,شاعران
şâirâne,شاعرانه
şâire,شاعره
şakâikünnumân,شقاءق النعمان
şakî,شقى
şâkî,شاكى
şâkir,شاكر
şâkird,شاكرد
şakk,شق
şâkûl,شاكول
şâl,شال
şâm,شام
şâme,شامه
şâmgâh,شامگاه
şâmî,شامى
şâmih,شامخ
şâmil,شامل
şâmme,شامه
şân,شان
şâne,شانه
şa'r,شعر
şarâb,شراب
şarâbî,شرابى
şâri',شارع
şâribülleyli vennehâr,شارب الليل والنهار
şârih,شارح
şa'riyye,شعریه
şark,شرق
şarkan,شرقا
şarkî,شرقى
şarkiyat,شرقيات
şarkiyyûn,شرقيون
şart,شرط
şartiyyet,شرطيت
şartnâme,شرط نامه
şast,شست
şa'şa'a,شعشعه
şa'şa'adâr,شعشعه دار
şathiyyat,شطحيات
şâtır,شاطر
şatranc,شطرنج
şatt,شط
şâyân,شایان
şâyed,شاید
şâyeste,شایسته
şâyestegî,شایستگى
şâygân,شایگان
şâyi',شایع
şâyia,شایعه
şâz,شاذ
şeâmet,شآمت
şeb,شب
şebâb,شباب
şebâhet,شباهت
şebân,شبان
şebangâh,شبانگاه
şebâviz,شباویز
şebbûy,شب بوی
şebefrûz,شب افروز
şebeke,شبكه
şebgerd,شبگرد
şebgîr,شبگير
şeb-i arûs,شب  عروس
şeb-i yeldâ,شب یلدا
şebîh,شبيه
şebîhûn,شبيخون
şebistan,شبستان
şebnem,شبنم
şebpere,شب پره
şebreng,شب رنگ
şebtâb,شبتاب
şeburûz,شب و روز
şebzindedâr,شب زنده دار
şecâat,شجاعت
şecer,شجر
şecere,شجره
şecî,شجيع
şedîd,شدید
şefâat,شفاعت
şefafet,شفافت
şefakat,شفقت
şeffaf,شفاف
şefî',شفيع
şefik,شفيق
şeftâlû,شفتالو
şegal,شغال
şeh,شه
şehâ,شها
şehâdet,شهادت
şehâdetnâme,شهادت نامه
şehâmet,شهامت
şehbâl,شهبال
şehbender,شهبندر
şehbenderhâne,شهبندر خانه
şehd,شهد
şehenşâh,شهنشاه
şehevât,شهوات
şehîd,شهيد
şehîr,شهير
şehlâ,شهلا
şehnişin,شهنشين
şehper,شهپر
şehr,شهر
şehr,شهر
şehrâşûb,شهر آشوب
şehremâneti,شهرامانتی
şehremini,شهرامينی
şehrî,شهری
şehristan,شهرستان
şehryâr,شهریار
şehryârî,شهریاری
şehsüvar,شهسوار
şehvânî,شهوانى
şehvât,شهوات
şehvet,شهوت
şehvetengîz,شهوت انگيز
şehvetperest,شهوت پرست
şehzâde,شهزاده
şehzâdegân,شهزادگان
şekâvet,شقاوت
şeker,شكر
şekerâb,شكراب
şekerhand,شكرخند
şekerleb,شكرلب
şekîbâ,شكيبا
şekk,شك
şekl,شكل
şeklen,شكلا
şeklî,شكلى
şekvâ,شكوا
şelgam,شلغم
şellâle,شلاله
şelvâr,شلوار
şelvârbend,شلواربند
şem',شمع
şemâil,شمائل
şemâte,شماطه
şem'dan,شمعدان
şemîm,شميم
şemme,شمه
şems,شمس
şemsî,شمسى
şemsiye,شمسيه
şemşîr,شمشير
şe'n,شأن
şenâat,شناعت
şenbe,شنبه
şenî',شنيع
şe'niyet,شأنيت
şer,شر
şer',شرع
şerâbhâr,شرابخوار
şerâfet,شرافت
şerâit,شرائط
şerâket,شراكت
şer'an,شرعا
şerâre,شراره
şerâret,شرارت
şerâyi',شرایع
şerbet,شربت
şeref,شرف
şerefbahş,شرفبخش
şerefsâdır,شرفصادر
şerefsudûr,شرفصدور
şerefvârid,شرفوارد
şerefvusûl,شرفوصول
şerefzâhir,شرفظاهر
şerefzuhûr,شرفظهور
şerer,شرر
şerh,شرح
şerha,شرحه
şer'î,شرعى
şeriat,شریعت
şerif,شریف
şerik,شریك
şerîr,شریر
şerîr,شریر
şerîta,شریطه
şer'iye,شرعيه
şerm,شرم
şermende,شرمنده
şermendegî,شرمندگى
şermgîn,شرمگين
şermnâk,شرمناک
şermsâr,شرمسار
şerr,شر
şest,شست
şeş,شش
şeşbeş,شش بش
şeşcihar,شش جهار
şeşise,شش و سه
şeşiyek,شش و یك
şeşper,شش پر
şeşüdü,شش و دو
şeşüm,ششم
şeşüse,شش و سه
şeşüyek,شش و یك
şetâret,شطارت
şetm,شتم
şevâgil,شواغل
şevher,شوهر
şevk,شوق
şevket,شوكت
şevketmeâb,شوكت مآب
şevketpenâh,شوكت پناه
şey',شىء
şeyâtin,شياطين
şeyb,شيب
şeydâ,شيدا
şeyh,شيخ
şeyhûhet,شيخوخت
şey'î,شيئى
şey'iyet,شيئيت
şeytanet,شيطنت
şeytânî,شيطانى
şıhne,شحنه
şık,شق
şîa,شيعه
şiâr,شعار
şibh,شبه
şibh-i cezîre,شبه جزیره
şibh-i münharif,شبه منحرف
şicâ',شجاع
şiddet,شدت
şifa,شفاء
şifâ',شفاء
şifâbahş,شفابخش
şifâhane,شفاخانه
şifâhen,شفاها
şifâhî,شفاهى
şifakâr,شفاكار
şifânâpezîr,شفاناپذیر
şifâresân,شفارسان
şifâyâb,شفایاب
şîfte,شيفته
şîftedil,شيفته دل
şihâb,شهاب
şîhe,شيهه
şîî,شيعى
şiirâlud,شعر آلود
şîiyyet,شيعيت
şikâf,شكاف
şikâr,شكار
şikârgah,شكارگاه
şikârî,شكاری
şikâyât,شكایات
şikâyet,شكایت
şikâyetnâme,شكایت  نامه
şikem,شكم
şikembe,شكمبه
şikemderd,شكم درد
şikemperest,شكم پرست
şikemperver,شكم پرور
şiken,شكن
şikence,شكنجه
şikest,شكست
şikeste,شكسته
şikestebâl,شكسته بال
şikestebeste,شكسته بسته
şikestedil,شكسته دل
şikestetâli',شكسته طالع
şimâl,شمال
şimâlen,شمالا
şimâlî,شمالى
şimşâd,شمشاد
şimşir,شمشير
şinâs,شناس
şi'r,شعر
şîr,شير
şîr,شير
şîrâze,شيرازه
şîrdan,شيردان
şîrdil,شيردل
şîre,شيره
şîrhar,شيرخوار
şîrin,شيرین
şîrinkâr,شيرینكار
şîrinzeban,شيرین زبان
şirk,شرک
şirket,شركت
şîrmerd,شيرمرد
şîrpençe,شيرپنچه
şirret,شرت
şiryân,شریان
şîşe,شيشه
şitâ,شتا
şitâbân,شتابان
şitâiyye,شتائيه
şîve,شيوه
şîvebaz,شيوه باز
şîvekâr,شيوه كار
şîven,شيون
şöhre,شهره
şöhret,شهرت
şöhretşiâr,شهرت شعار
şuâ,شعاع
şuâât,شعاعات
şuabât,شعبات
şuarâ,شعرا
şube,شعبه
şubede,شعبده
şubedebâz,شعبده باز
şuebât,شعبات
şugl,شغل
şugûl,شغول
şûh,شوخ
şûhmeşreb,شوخ مشرب
şu'le,شعله
şu'ledar,شعله دار
şu'lereng,شعله رنگ
şu'lever,شعله ور
şûm,شوم
şûr,شور
şûrâ,شورا
şûrbaht,شوربخت
şûre,شوره
şûrezâr,شوره زار
şûrîde,شوریده
şûrîdebaht,شوریده بخت
şûrîdehâtır,شوریده خاطر
şûristân,شورستان
şûriş,شورش
şurta,شرطه
şurûb,شروب
şurût,شروط
şuûbiyye,شعوبيه
şuûn,شئون
şuur,شعور
şûy,شوی
şübhe,شبهه
şübhedar,شبهه دار
şücâ',شجاع
şücâ'at,شجاعت
şüfeâ,شفعا
şühedâ,شهدا
şühud,شهود
şühûr,شهور
şükr,شكر
şükrân,شكران
şükrâne,شكرانه
şükrgüzar,شكرگزار
şükûfe,شكوفه
şükûfezar,شكوفه زار
şükûh,شكوه
şüküfte,شكفته
şükür,شكر
şümâr,شمار
şümûl,شمول
şümürde,شمرده
şüpüş,شپش
şürb,شرب
şürefâ,شرفا
şürekâ,شركا
şürû,شروع
şürûh,شروح
şürûr,شرور
şürut,شروط
şüs,شس
şüst,شست
şüstüşû,شست و شو
şüş,شش
şütür,شتر
şütürban,شتربان
şütürdil,شتردل
şütürhâr,شترخوار
şütürmürg,شترمرغ
şüûn,شئون
şüûnât,شئونات
şüyû,شيوع
şüyûh,شيوخ
tâ,تا
tâ,تا
taab,تعب
taabbüd,تعبد
taaccüb,تعجب
taaddî,تعدی
taaddüd,تعدد
taadiyât,تعدیات
taaffün,تعفن
taahhüd,تعهد
taahhüdname,تعهد نامه
taakkul,تعقل
taalluk,تعلق
taallukât,تعلقات
taâm,طعام
taâmhane,طعام خانه
taammuk,تعمق
taammüd,تعمد
taammüden,تعمدا
taammüm,تعمم
taannüd,تعند
taarruz,تعرض
taarrüb,تعرب
taassub,تعصب
taassubkâr,تعصبكار
taassubkârî,تعصبكاری
taassür,تعسر
taaşşuk,تعشق
tâat,طاعت
taavvuk,تعوق
taayyün,تعين
taayyüş,تعيش
taazzuv,تعضو
tab',طبع
tâb,تاب
tabâbet,طبابت
tabâhat,طباخت
tabak,طبق
tabaka,طبقه
tabakât,طبقات
tabakâtülarz,طبقة الارض
tabakhâne,طبق خانه
tab'an,طبعا
tâbân,تابان
tab'âniyye,طبعانيه
tabasbus,تبصبص
tâbâver,تاب آور
tabâyi',طبایع
tabbâh,طباخ
tabbâl,طبال
tâbdar,تابدار
tâbe,تابه
tâbende,تابنده
tabh,طبخ
tabhâne,طبع خانه
tâbi,تابع
tâbi',طابع
tabiat,طبيعت
tabib,طبيب
tabîban,طبيبان
tabîî,طبيعى
tabîiyyât,طبيعيات
tâbiiyyet,تابعيت
tabîiyyûn,طبيعيون
tabir,تعبير
tâbirat,تعبيرات
tâbistan,تابستان
tâbistânî,تابستانى
tâbiş,تابش
ta'biye,تعبيه
ta'biyetülceyş,تعبية الجيش
tabl,طبل
tablzen,طبل زن
tâbnâk,تابناک
tâbut,تابوت
tâc,تاج
tâcdâr,تاجدار
tâcıser,تاج سر
tacidar,تاجدار
ta'cîl,تعجيل
tacir,تاجر
taciz,تعجيز
tâcser,تاجسر
tâcver,تاجور
tadâd,تعداد
ta'dâd,تعداد
ta'dîl,تعدیل
ta'dîlat,تعدیلات
ta'dîlen,تعدیلا
tafazzul,تفضل
tafra,طفره
tafrafurûş,طفده فروش
tafsil,تفصيل
tafsilât,تفصيلات
tafsîlen,تفصيلا
tagaddî,تغدی
tagallüb,تغلب
tagannî,تغنى
tagayyür,تغير
tagazzî,تغذی
tağdiye,تغذیه
tâğî,طاغى
tağlik,تغليق
tağlît,تغليط
tağrîb,تغریب
tâğun,طاغون
tâğût,طاغوت
tağyîr,تغيير
tağyîrât,تغييرات
tağziye,تغذیه
tahaccür,تحجر
tahaddüb,تحدب
tahaddüs,تحدس
tahaddüsiyye,تحدسيه
tahakkuk,تحقق
tahakküm,تحكم
tahallüs,تخلص
tahammur,تخمّر
tahammül,تحمل
tahammülfersâ,تحمل فرسا
tahammür,تخمر
tahâret,طهارت
taharrî,تحری
taharriyât,تحریات
tahassür,تحسر
tahassüs,تحسس
tahaşşî,تخشى
tahattî,تخطى
tahattur,تخطر
tahavvül,تحول
tahavvülât,تحولات
tahayyül,تخيل
tahayyülât,تخيلات
tahayyülî,تخيلى
tahayyür,تحير
tahcîr,تحجير
tahdîd,تحدید
tahdîdât,تحدیدات
tahfîf,تخفيف
tâhir,طاهر
tahkik,تحقيق
tahkîkat,تحقيقات
tahkim,تحكيم
tahkîmât,تحكيمات
tahkîr,تحقير
tahkîrâmiz,تحقير آميز
tahkiye,تحكیة
tahlîf,تحليف
tahlîl,تحليل
tahlîlât,تحليلات
tahlîs,تخليص
tahlit,تخليط
tahliye,تخليه
tahmîl,تحميل
tahmînen,تخمينا
tahmînî,تخمينى
tahmîr,تخمير
tahmis,تخميس
tahnit,تحنيط
tahrib,تخریب
tahrîbât,تخریبات
tahrîbkâr,تخریبكار
tahrîf,تحریف
tahrîfat,تحریفات
tahrîk,تحریك
tahrîkâmiz,تحریك آميز
tahrim,تحریم
tahrir,تحریر
tahrîrî,تحریری
tahris,تحریص
tahriş,تخریش
tahsil,تحصيل
tahsîlat,تحصيلات
tahsildar,تحصيلدار
tahsin,تحسين
tahsis,تخصيص
tahsisat,تخصيصات
tahşiye,تحشيه
taht,تحت
taht,تخت
tahtânî,تحتانى
tahte,تخته
tahtelarz,تحت الارض
tahtelbahir,تحت البحر
tahteşşuur,تحت الشعور
tahtgâh,تختگاه
tahtıe,تخطئه
tahtît-i arazi,تخطيط اراضى
tahtnişin,تخت نشين
tahtüşşuûr,تحت الشعور
tahvil,تحویل
tahvîlât,تحویلات
tahzîr,تحذیر
tâib,تائب
tâife,طائفه
tâir,طائر
tâk,طاق
tâk,تاک
takabbül,تقبل
takaddüm,تقدم
takallüs,تقلص
takarrüb,تقرب
takarrür,تقرر
tâkat,طاقت
tâkatfersâ,طاقت فرسا
takattur,تقطر
takâvim,تقاویم
takayyüd,تقيد
takbîh,تقبيح
tâkçe,طاقچه
takdim,تقدیم
takdime,تقدمه
takdir,تقدیر
takdîren,تقدیرا
takdîrname,تقدیرنامه
takdîs,تقدیس
takıyye,تقيه
tâkıyye,طاقيه
takîb,تعقيب
ta'kîb,تعقيب
ta'kîbât,تعقيبات
takiben,تعقيبا
ta'kîben,تعقيبا
taklîd,تقليد
taklîden,تقليدا
taklîl,تقليل
takrîb,تقریب
takrîben,تقریبا
takrîbî,تقریبى
takrîr,تقریر
takrîren,تقریرا
takrîz,تقریظ
takrîz,تقریض
taksîm,تقسيم
taksimat,تقسيمات
taksîr,تقصير
taksîrât,تقصيرات
taksît,تقسيط
taktî',تقطيع
taktîr,تقطير
takvâ,تقوا
takviye,تقویه
takviyet,تقویت
talâk,طلاق
talâknâme,طلاق نامه
tâlân,تالان
tal'at,طلعت
taleb,طلب
talebdar,طلبدار
talebe,طلبه
talebkâr,طلبكار
tâli',طالع
tâlî,تالى
talîa,طليعه
tâlib,طالب
ta'lîk,تعليق
ta'lîl,تعليل
ta'lîm,تعليم
ta'lîmât,تعليمات
ta'lîmatname,تعليمات نامه
ta'lîmhâne,تعليم خانه
ta'lîmî,تعليمى
taltif,تلطيف
tama',طمع
tama'kâr,طمعكار
tamâm,تمام
tamâmen,تماما
ta'mîk,تعميق
ta'mîm,تعميم
ta'mîm,تعميم
ta'mîmen,تعميما
ta'mîr,تعمير
ta'mîrât,تعميرات
ta'mîren,تعميرا
tâmm,تام
tâmme,تامه
ta'n,طعن
tanbûr,طنبور
tanbûrî,طنبوری
ta'ne,طعنه
ta'nezen,طعنه‌زن
tanîn,طنين
tanînendâz,طنين انداز
tannâz,طناز
tantana,طنطنه
tanz,طنز
tanzîf,تنظيف
tanzîfât,تنظيفات
tanzîm,تنظيم
tanzîr,تنظير
târ,تار
tarab,طرب
tarabengîz,طرب انگيز
tarabgâh,طربگاه
târâc,تاراج
taraf,طرف
tarafdâr,طرفدار
tarafdârân,طرفداران
tarafdârî,طرفداری
tarafeyn,طرفين
tarafgîr,طرفگير
tarassud,ترصد
tarâvet,طراوت
tard,طرد
târem,تارم
tarf,طرف
tarfe,طرفه
tarfetülayn,طرفة العين
tarh,طرح
târık,طارق
ta'rîb,تعریب
ta'rîf,تعریف
ta'rife,تعرفه
târihnüvis,تاریخ نویس
târihşinâs,تاریخ شناس
tarîk,طریق
târîk,تاریك
ta'rîz,تعریض
tarrâr,طرار
târümâr,تارومار
târüpûd,تار و پود
tarz,طرز
tâs,تاس
tasaddî,تصدی
tasallut,تسلط
tasannu,تصنع
tasarruf,تصرف
tasâvîr,تصاویر
tasavvufî,تصوفى
tasavvur,تصور
tasavvurât,تصورات
tasdî',تصدیع
tasdîk,تصدیق
tâse,تاسه
tasfiye,تصفيه
tasfiyehane,تصفيه خانه
tasgîr,تصغير
tashîf,تصحيف
tashih,تصحيح
tâsi',تاسع
tâsi'an,تاسعا
tâsme,تاسمه
tasmîm,تصميم
tasmîmât,تصميمات
tasnî',تصنيع
tasnîf,تصنيف
tasrîf,تصریف
tasrîh,تصریح
tasrîhen,تصریحا
tasvib,تصویب
tasvîr,تصویر
tasvirkâr,تصویركار
taşt,طشت
tatbîk,تطبيق
tatbîkan,تطبيقا
tatbîkat,تطبيقات
tatbîkî,تطبيقى
tathîr,تطهير
tathîrat,تطهيرات
ta'tîl,تعطيل
ta'tîlât,تعطيلات
tatlîk,تطليق
tatmin,تطمين
tatvîl,تطویل
tâûn,طاعون
tav',طوع
tavâf,طواف
tavâif,طوائف
tav'an,طوعا
tavassut,توسط
tavattun,توطن
tav'î,طوعى
ta'vîk,تعویق
tavîl,طویل
ta'vîz,تعویذ
ta'vîz,تعویض
tavk,طوق
tavr,طور
tavsîf,توصيف
tavsiye,توصيه
tâvus,طاوس
tavzîf,توظيف
tavzîh,توضيح
tavzîhat,توضيحات
tây,تای
ta'yîb,تعييب
ta'yîn,تعيين
taylasan,طيلسان
tayr,طير
tayy,طى
tayyâr,طيار
tayyâre,طياره
tayyib,طيب
tayyibe,طيبه
tâz,تاز
tazallüm,تظلم
tazammun,تضمن
tazarru',تضرع
tazarru'ât,تضرعات
tazarrur,تضرر
tâze,تازه
tâzegî,تازگى
tâzî,تازی
ta'zîb,تعذیب
taz'îf,تضعيف
ta'zîm,تعظيم
ta'zîmen,تعظيما
ta'zîr,تعذیر
tâziyân,تازیان
tâziyâne,تازیانه
ta'ziye,تعزیه
ta'ziyet,تعزیت
ta'ziyetnâme,تعزیت نامه
ta'zîz,تعزیز
tazmîn,تضمين
tazmînât,تضمينات
tazyîk,تضييق
teâdül,تعادل
teâkub,تعاقب
teâlî,تعالى
teâmül,تعامل
teâmülât,تعاملات
tearrî,تعری
teâruz,تعارض
teârüf,تعارف
teâtî,تعاطى
teâvün,تعاون
teb,تب
tebaa,تبعه
tebâh,تباه
tebahhur,تبخر
tebahhur,تبحر
tebâhkâr,تباهكار
tebahtur,تبختر
tebaiyyet,تبعيت
tebaiyyeten,تبعية
tebâr,تبار
tebâşîr,تباشير
tebâüd,تباعد
tebâyün,تباین
tebcîl,تبجيل
tebdîl,تبدیل
tebdîlen,تبدیلا
tebe'a,تبعه
tebe'an,تبعا
tebeddül,تبدل
tebeddülât,تبدلات
tebellüğ,تبلغ
teber,تبر
teberdâr,تبردار
teberrâ,تبرا
teberru,تبرع
teberruan,تبرعا
teberruât,تبرعات
teberrüd,تبرد
teberrük,تبرک
teberrüken,تبركا
teberzin,تبرزین
tebessüm,تبسم
tebettül,تبتل
tebevvül,تبول
tebeyyün,تبين
tebhâl,تبخال
tebhîr,تبخير
teb'îd,تبعيد
teblerze,تب لرزه
teblîğ,تبليغ
teblîğât,تبليغات
tebrîd,تبرید
tebrie,تبرئه
tebrîk,تبریك
tebrîkât,تبریكات
tebrîkname,تبریك نامه
tebşîr,تبشير
tebyîn,تبيين
tebyîz,تبييض
tebzîr,تبذیر
tecâhül,تجاهل
tecârib,تجارب
tecâsür,تجاسر
tecâvüz,تجاوز
tecavüzkâr,تجاوزكار
tecdîd,تجدید
teceddüd,تجدد
teceddüdât,تجددات
tecellî,تجلى
tecellîgâh,تجليگاه
tecemmu,تجمع
tecemmül,تجمل
tecennün,تجنن
tecerru',تجرع
tecerrüd,تجرد
tecessüm,تجسم
tecessüs,تجسس
tecessüskâr,تجسسكار
tecevvüf,تجوف
tecezzî,تجزی
techîl,تجهيل
techîz,تجهيز
techîzât,تجهيزات
te'cîl,تأجيل
tecnîs,تجنيس
tecribe,تجربه
tecribî,تجربى
tecrîd,تجرید
tecrîden,تجریدا
tecrübe,تجربه
tecvîd,تجوید
tecvîz,تجویز
teczie,تجزئه
teczîr,تجذیر
tecziye,تجزیه
tedâbir,تدابير
tedâfü,تدافع
tedâfüî,تدافعى
tedâhül,تداخل
tedâî,تداعى
tedarikât,تداركات
tedârukât,تداركات
tedârük,تدارک
tedâvül,تداول
tedbîr,تدبير
tedbîrülmenzil,تدبيرالمنزل
tedennî,تدنى
tederrüs,تدرس
tedfîn,تدفين
tedhîn,تدخين
tedhîn,تدهين
tedhîş,تدهيش
te'dîb,تأدیب
te'diyât,تأدیات
te'diye,تأدیه
tedkîk,تدقيق
tedkîkât,تدقيقات
tedrîcen,تدریجا
tedrîcî,تدریجى
tedrîs,تدریس
tedrîsât,تدریسات
tedvîn,تدوین
tedvîr,تدویر
tedviye,تدویه
teeddüb,تأدب
teeddüben,تأدبا
teehhül,تأهل
teehhür,تأخر
teekküd,تأكد
teemmül,تأمل
teennî,تأنى
teessüf,تأسف
teessür,تأثر
teessüs,تأسس
tefahhur,تفخر
tefahhus,تفحص
tefâhür,تفاخر
tefakkud,تفقد
tefâsîl,تفاصيل
tefâsîr,تفاسير
tefâvüt,تفاوت
tefavvuk,تفوق
tefazzul,تفضل
tefehhüm,تفهم
tefekkür,تفكر
tefekkürât,تفكرات
tefelsüf,تفلسف
teferru'ât,تفرعات
teferrüc,تفرج
teferrücgâh,تفرجگاه
teferrüd,تفرد
tefessüh,تفسخ
tefe'ül,تفأل
tefevvuh,تفوه
tefevvuk,تفوق
tefhîm,تفخيم
tefhîm,تفهيم
tefrîh,تفریح
tefrîk,تفریق
tefrika,تفرقه
tefriş,تفریش
tefrişat,تفریشات
tefrît,تفریط
tefsir,تفسير
tefsirât,تفسيرات
tefte,تفته
teftîn,تفتين
teftiş,تفتيش
tefviz,تفویض
tegaddî,تغدّی
tegafül,تغافل
tegayür,تغایر
tegayyür,تغير
tegazzî,تغدّی
tegazzül,تغزل
teh,ته
tehâcî,تهاجى
tehâcüm,تهاجم
tehallüf,تخلف
tehallüs,تخلص
tehâlüf,تخالف
tehâlük,تهالك
tehâsum,تخاصم
tehâsum,تخاصم
tehâşî,تحاشى
tehâvün,تهاون
tehcîr,تهجير
tehdîd,تهدید
tehdîdâmîz,تهدید آميز
tehdîden,تهدیدا
tehdîdkâr,تهدیدكار
tehdîdkârâne,تهدیدكارانه
teheccî,تهجى
tehevvu,تهوع
tehevvür,تهور
teheyyüc,تهيج
tehî,تهى
tehîdest,تهى دست
tehîdestî,تهيدستى
tehîmağz,تهى مغز
tehîmiyân,تهى ميان
te'hîr,تأخير
tehiyye,تهيه
tehniyet,تهنيت
tehyie,تهيئه
tehzîb,تهذیب
tehzîl,تهزیل
tehzîz,تهزیز
tekabül,تقابل
tekâlîf,تكاليف
tekâmül,تكامل
tekâpu,تكاپو
tekârîr,تقاریر
tekârub,تقارب
tekâsüf,تكاثف
tekâsül,تكاسل
tekâsür,تكاثر
tekâtu',تقاطع
tekâüd,تقاعد
tekâüdiye,تقاعدیه
tekâvîm,تقاویم
tekâyâ,تكایا
tekbîr,تكبير
tekdîr,تكدیر
tekebbür,تكبر
tekeffül,تكفل
tekellüm,تكلم
tekemmül,تكمل
tekerrür,تكرر
tekessur,تكسر
tekessür,تكثر
tekevvün,تكون
tekevvünât,تكونات
tekeyyüf,تكيف
tekfîl,تكفيل
tekfîn,تكفين
tekfîr,تكفير
te'kîd,تأكيد
teklîf,تكليف
teklîfât,تكليفات
tekmîl,تكميل
tekmile,تكمله
tekrâr,تكرار
tekrâren,تكرارا
tekrîm,تكریم
tekrîr,تكریر
teksîf,تكثيف
teksîr,تكثير
tekvîn,تكوین
tekye,تكيه
tekzîb,تكذیب
telâfî,تلافى
telâkî,تلاقى
telakkî,تلقى
telakkiyât,تلقيات
telâmîz,تلاميذ
telâsuk,تلاصق
telâşî,تلاشى
telattuf,تلطف
telâtum,تلاطم
telbîs,تلبيس
tele,تله
telebbüs,تلبس
telef,تلف
telefât,تلفات
telehhüf,تلهف
tele'lu,تلألؤ
telemmüz,تلمذ
televvün,تلون
telh,تلخ
telhîs,تلخيص
telhîsen,تلخيصا
telhkâm,تلخكام
te'lîf,تأليف
te'lîfât,تأليفات
te'lifbîn,تأليف بين
te'lîfkerde,تأليف كرده
tel'în,تلعين
telkârî,تل كاری
telkîh,تلقيح
telkîn,تلقين
telkînî,تلقينى
tell,تل
telmîh,تلميح
telmîhât,تلميحات
telmîhen,تلميحا
telvîn,تلوین
telvîs,تلویث
temâdî,تمادی
temâs,تماس
temâsîl,تماثيل
temâsül,تماثل
temâşâ,تماشا
temaşagâh,تماشاگاه
temâyül,تمایل
temâyülât,تمایلات
temâyüz,تمایز
temcîd,تمجيد
temdîd,تمدید
temeddün,تمدن
temekkün,تمكن
temelluk,تملق
temellük,تملك
temennî,تمنى
temerküz,تمركز
temerrüd,تمرد
temeshur,تمسخر
temessüh,تمسخ
temessüh,تمسح
temessük,تمسك
temessül,تمثل
temettü,تمتع
temevvüc,تموج
temevvül,تمول
temeyyüz,تميز
temhîl,تمهیل
temîn,تأمين
temînât,تأمينات
temînen,تأمينا
temkîn,تمكين
temlîk,تمليك
temr,تمر
temrîn,تمرین
temsîl,تمثيل
temsîlât,تمثيلات
temyîz,تمييز
ten,تن
tenâfür,تنافر
tenahnuh,تنحنح
tenâkus,تناقص
tenâkuz,تناقض
tenâkür,تناكر
tenâsân,تن آسان
tenâsur,تناصر
tenâsüb,تناسب
tenâsüh,تناسخ
tenâsül,تناسل
tenâsülî,تناسلى
tena'um,تنعم
tenâvüb,تناوب
tenâzur,تناظر
tenâzurî,تناظری
tenbân,تنبان
tenbel,تنبل
tenbîh,تنبيه
tenbîhât,تنبيهات
tendürüst,تن درست
tene,تنه
tenebbüh,تنبه
tenebbüt,تنبت
teneffür,تنفر
teneffüs,تنفس
tenevvü',تنوع
tenevvür,تنور
tenezzüh,تنزه
tenezzül,تنزل
