a,آ
redif,رديف
refah,رفاء
Refâhiye,رفاهيه
refâkat,رفاقت
referandum,ره‌فه‌ره‌ندوم
ref’etmek,رفع ايتمك
refi,رفيع
refik,رفيق
refîka,رفيقه
reflektör,ره‌فلكتور
reform,ره‌فورم
reftâr,رفتار
regâib,رغائب
reh,ره‌
reh,راه
rehâ,رها
rehâvet,رخاوت
rehâvî,رهاوى
rehber,رهبر
rehberlik,رهبرلك
rehin,رهن
rehine,رهينه
rehnümâ,رهنما
reis,رئيس
reiskâr,رأس‌كار
reji,رژى
rejim,ره‌ژيم
rejisör,ره‌ژيسور
rek,رك
rekaabet,رقابت
rekabet,رقابت
rekâket,ركاكت
reklâm,ره‌قلام
rekolte,ره‌قولتا
rekor,ره‌قور
rektör,ره‌كتور
remel,رمل
remil,رمل
remz,رمز
rencber,رنجبر
rencberlik,رنخبرلك
rencîde,رنجيده
rende,رنده
rendelemek,رنده‌له‌مك
rendelenmek,رنده‌لنمك
rengârenk,رنگارنك
rengin,رنگين
renk,رنك
renklemek,رنكله‌مك
renklenmek,رنكلنمك
renkli,رنكلى
renksiz,رنكسز
rennân,رنان
re’s,رأس
re’sen,رأساً
reseptör,ره‌سه‌پتور
resim,رسم
resimci,رسمجى
resimli,رسملى
resimsiz,رسمسز
resmen,رسماً
resmî,رسمى
resmiyet,رسميت
ressam,رسّام
ressamlık,رسّاملق
Re’sülayn,رأسالعين
re’sülmâl,رأس‌المال
Reşâdiye,رشاديه
reşîd,رشيد
retuş,ره‌نوش
revâ,روا
revac,رواج
revaclandırmak,رواجلانديرمق
revaclı,رواجلى
revacsız,رواجسسز
revacsızlık,رواجسسزلق
revak,رواق
revân,روان
revânî,روانى
reverans,ره‌وه‌رانس
revnak,رونق
revnaklı,رونقلى
revü,ره‌وو
rey,رأى
reyb,ريب
reybî,ريبى
rezâlet,رذالت
rezil,رذيل
rıfk,رفق
rıhtım,ريحتيم
rızâ,رضا
rızk,رزق
riâyet,رعايت
riâyetkâr,رعايتكار
riâyetsiz,رعايتسز
riâyetsizlik,رعايتسزلك
ricâ,رجا
ricâcı,رجاجى
ricâl,رجال
ric’at,رجعت
ridâ,ردا
rif’at,رفعت
rif’atlû,رفعتلو
rihlet,رحلت
ria’a,رضه
rik’at,ركعت
rikkat,رقت
rikkatli,رقتلى
rind,رند
rindlik,رندلك
risâle,رساله
risâlet,رسالت
rivâyet,روايت
riyâ,ريا
riyâkâr,رياكار
riyakârlık,رياكارلق
riyâl,ريال
riyâset,رياست
riyâzat,رياضت
riyâzî,رياضى
riyazıyyûn,رياضيون
Rize,ريزه
roket,روكت
rol,رول
Roma,روما
Romalı,رومالى
roman,رومآن
romancı,رومانجى
romancılık,رومانجيلق
romantik,رومانتيك
romantizm,رومانتيزم
Romanya,رومانيا
Romanyalı,رومانيالى
romatizma,روماتيزما
romatizmalı,روماتيزمالى
rota,روطه
rotatif,روتاتيف
rozet,روزه‌ت
römork,ره‌مورق
römorkör,ره‌موركور
Rönesans,رونه‌سانس
rövanş,ره‌وانش
rubâ,روبا
rubalık,روبالق
rubye,روبيه
rubye,روبيه
rugan,روغن
ruganlamak,روغنلامق
ruğanlı,روغنلى
ruh,روح
rûhânî,روحانى
ruhâniyet,روحانيت
ruhban,رهبان
ruhbâniyet,رهبانيت
rûhî,روحى
rûhiyât,روحيات
rûhiyet,روحيت
ruhlandırmak,روحلانديرمق
ruhlamak,روحلانمق
ruhlu,روحلى
ruhsuz,روحسز
ruhsuzluk,روحسزلق
ruhsat,رخصت
ruhsatlı,رخصتلى
ruhsatnâme,رخصتنامه
ruhsatsız,رخصتسز
rûhülkudüs,روح القدس
rulet,رولت
Rum,روم
rûmi,رومى
rumluk,روملق
rumuz,رموز
Rus,روس
rusça,روسجه
rusya,روسيه
Rusyalı,روسيه‌لى
rûşen,روشن
rutûbet,رطوبت
rutûbetli,رطوبتلى
ruy,روى
ruyinigâr,روى نكار
ruznâme,روزنامه
ruznâmeci,روزنامه‌جى
rübûbiyet,ربوبيت
rücû,رجوع
rüçhan,رجحان
rüesa,رؤسا
rüfekaa,رفقاء
rükû,ركوع
rükün,ركن
rüsûb,رسوب
rüsûbî,رسوبى
rüsûh,رسوخ
rüsüm,رسوم
rüsûmât,رسومات
rüsvay,رسواى
rüşd,رشد
rüşdiye,رشديه
rüşeym,رشيم
rüşved,رشوت
rüşvetci,رشوتجى
rütbe,رتبه
rütbeli,رتبه‌لى
rütbesiz,رتبه‌سز
rüûs,رؤس
rûya,رؤيا
rûyalı,رؤيالى
rü’yet,رؤيت
rüzgâr,روزگار
saâdet,سعادت
saâdetli,سعادتلى
saat,ساعت
saatci,ساعتجى
saatcilik,ساعتجيلك
saatlik,ساعتلك
sabâ,صبا
sabah,صباح
sabah,صباح
sabahki,صباحكى
sabahlamak,صباحلامق
sabahları,صباحلرى
sabahlatmak,صباحلاتمق
sabahleyin,صباحلاين
sabahlı,صباحلى
sabanbaskısı,صابان باسقيسى
sabanbıçağı,صابان بيچاغى
sabançapası,صابان چاپاسى
sabandemiri,صابان دميرى
sabankılıcı,صابان قيليجى
sabankıran,صابان‌قيران
sabankulağı,صابان قولاغى
sabanoku,صابان اوقى
sabanökçesi,صابان اوكچه‌سى
sabâvet,صباوت
sabâvet,صباوت
sâbık,سابق
sâbıka,سابقه
sabır,صبر
sabırlı,صبرلى
sabırsız,صبرسز
sabırsızlanmak,صبرسزلانمق
sabırsızlık,صبرسزلق
sabî,صبى
sâbit,ثابت
sabotaj,سابوتاژ
sabun,صابون
sabuncu,صابونجى
sabunculuk,صابونجيلق
sabunhâne,صابونخانه
sabunlama,صابونلامه
sabunlamak,صابونلامق
sabunlatmak,صابونلاتمق
sabunlu,صابونلى
sacayağı,ساج آياغى
sacayak,ساج آياق
sac,ساج
saç,صاچ
saçak,صاچاق
saçaklı,صاچاقلى
saçbağı,صاچ باغى
saçı,صاچى
açık saçık,آچيق صاچيق
saçılmak,صاچيلمق
saçışdırmak,صاچيشديرمق
saçkıran,صاچ قيران
saçlı,صاچلى
saçma,صاچمه
saçmak,صاچمق
saçmalamak,صاچمه‌لامق
saçmasapan,صاچمه‌صاپان
saçuzatan,صاچ اوزاتان
sadâ,صدا
sâdedlik,ساده‌دلك
sadaka,صدقه
sadâkat,صداقت
sadâkatli,صداقتلى
sadâlı,صدالى
sadâret,صدارت
sadâsız,صداسز
sâde,ساده
sâdedil,ساده‌دل
sâdelik,ساده‌لك
sadet,صدد
sâdık,صادق
sâdıkaane,صادقانه
sâdıkane,صادقانه
sadır,صدر
sâdir,صادر
sadme,صدمه
saf,صف
saf,صاف
safâ,صفا
safahât,صفحات
safderûn,سافدرون
safderunluk,صافدرونلق
safdil,صافدل
safdillik,صافدللك
saffet,صفوت
safha,صفحه
sâfi,صافى
safîr,صفير
saflık,صافلق
safra,صفرا
safra,صافرا
safralı,صفرالى
safran,سافران
safran,زعفران
Safranbolu,زعفرانبولى
safrâvî,صفراوى
safsata,سفسطه
safsatacı,سفسطه‌جى
sağ,صاغ
sağanak,صاغناق
sağanak,صاغاناق
sağanaklı,صاغاناقلى
sağdıç,صاغديچ
sağdıçlık,صاغديجلق
sağdırmak,صاغديرمق
sağılmak,صاغيلمق
sağır,صاغير
sağırlık,صاغيرلق
sağlam,صاغلام
sağlamak,صاغلامق
sağlamlamak,صاغلاملامق
sağlamlaşdırmak,صاغلاملاشديرمق
sağlamlanmak,صاغلاملانمق
sağlamlaşmak,صاغلاملاشمق
sağlamlık,صاغلاملق
sağlı,صاغلى
sağlıcak,صاغليجاق
sağlık,صاغلق
sağma,صاغمه
sağmak,صاغمق
sağmal,صاغمال
sağrı,صاغرى
sâha,ساحه
sahâbe,صحابه
sahâbet,صحابت
sahaf,سحاف
sahan,صحن
sahanlık,صحنلق
sahâvet,سخاوت
sahâvetli,سخاوتلى
sahî,صحيح
sahib,صاحب
sâhiblik,صاحبلك
sâhibsiz,صاحبسز
sâhibsizlik,صاحبسزلك
sahîci,صحيجى
sahîden,صحيحدن
sahîhan,صحيحاً
sâhil,ساحل
sahne,صحنه
sahrâ,صحرا
sahte,ساخته
sahtekâr,ساخته‌كار
sahtekârlık,ساخته‌كارلق
sahtelik,ساخته‌لك
sahtevakar,ساخته‌وقار
sahtiyan,سختيان
sahtiyancı,سختيانخى
sahtiyancılık,سختيانجيلق
sahur,سحور
saîd,سعيد
Saîdeli,سعيدايلى
sâik,سائق
sâika,سائقه
Sâimbeyli,صائم‌بكلى
sâir,سائر
sairfilmenâm,سائرفى المنام
sak,ساق
saka,سقا
sakaamet,سقامت
sakamet,سقامت
sakabeygiri,سقا بيگيرى
sakağı,ساقاغى
sakakuşu,سقاقوشى
sakal,صاقال
sakal,صقال
sakallanmak,صاقاللانمق
sakallı,صاقاللى
sakalsız,صاقالسز
sakar,صاقار
sakarin,صاقارين
sakat,سقط
sakatat,سقطات
sakatlamak,سقطلامق
sakatlanmak,سقطلانمق
sakatlık,سقطلق
sâkıb,ثاقب
sakın,صاقين
sakınış,صاقينيش
sakınma,صاقينمه
sakınmak,صاقينمق
sâkıt,ساقط
sâkıy,ساقى
sakıym,سقيم
sakıynâme,ساقينامه
sakız,ساقز
sakil,ثقيل
sâkin,ساكن
sâkit,ساكت
saklama,صاقلامه
saklamak,صاقلامق
saklambaç,صاقلانباچ
saklanılmak,صاقلانيلمق
saklanmak,صاقلانمق
saklantı,صاقلانتى
saklatmak,صاقلاتمق
saklayış,صاقلاييش
saklı,صاقلى
saksağan,صاقساغان
saksı,صاقسى
saksı,ساقسى
saksılık,ساقسيلق
sâkîlik,ساقيلك
sal,صال
salâ,صلا
salâbet,صلابت
salacak,صالاجق
salâh,صلاح
salâhiyet,صلاحيت
salak,صالاق
salamura,صالامورا
salamura,سالامورا
salât,صلات
salata,صالاتا
salata,صلاته
salatalık,صالاتالق
salb,صلب
salbetmek,صلب ايتمك
saldırmak,صالديرمق
sâleb,سالب
sâlebci,سالبجى
sâlebcilik,سالبجيلك
salevât,صلوات
salgın,صالغين
salhâne,سلخخانه‌
salı,صالى
salık,صاليق
salıncak,صالينجاق
salınış,صالينيش
salınma,صالينمه
salınmak,صالينمق
salıvermek,صاليويرمك
salib,صليب
sâlih,صالح
Sâlihli,صالحلى
sâlik,سالك
sâlim,سالم
sâlimen,سالماً
sâlis,ثالث
sâlisen,ثالثاً
salkım,صالقيم
salkımsöğüt,صالقيم سوكوت
salkımsaçak,صالقيم صاچاق
sallabaş,صاللاباش
sallama,صاللامه
sallamak,صاللامق
sallandırmak,صاللانديرمق
sallanma,صاللانمه
sallanmak,صاللانمق
sallı,صاللى
salma,صالمه
salmak,صالمق
sâlnâme,سالنامه
salon,صالون
salt,صالت
saltanat,سلطنت
saltanatlı,سلطنتلى
salya,صاليا
salyangoz,صاليانغوز
sam,صام
sâmân,سامان
saman,صامان
saman,صمان
samanlı,صامانلى
samanlık,صامانلق
samedânî,صمدانى
samedâniyet,صمدانيت
sâmi,سامع
sâmi,سامى
sâmia,سامعه
sâmiîn,سامعين
samîm,صميم
samîmî,صميعى
sâmit,صامت
samsun,صامسون
samsun,صاڭسون
Samsun,صامسون
samur,صامور
samur,صمور
samyeli,سام يلى
sana,سڭا
san’at,صنعت
san’atcı,صنعتجى
san’atkâr,صنعتكار
san’atkârlık,صنعتكارلق
san’atlı,صنعتلى
sanatoryum,ساناتوريوم
sanavber,صنوبر
sancak,سنجاق
sancak,سانجاق
sancakdar,سنجاقدار
sancı,صانجى
sancılanmak,صانجيلانمق
sancılı,صانجيلى
sancımak,صانجيمق
sandal,صندال
sandal,صاندال
sandal,صندل
sandalcı,صندالجى
sandalye,صنداليه
sandalyeci,صنداليه‌جى
sandık,صنديق
sandık,صندوق
sandıkcı,صنديقجى
sandıklı,صنديقلى
Sandıklı,صنديقلى
sandviç,صانداويچ
sanem,صنم
Sânî,صانع
sânî,ثانى
sâniha,سانحه
sâniye,ثانيه
sâniyen,ثانيا
sanki,صانكه
sanmak,صانمق
sansar,صانصار
sansar,سانسار
sansar,سڭسار
sansasyon,سانساسيون
sanskrit,سانسقريت
santrifüj,سانتريفوژ
sansüalism,سانسوآليزم
sansüalist,سانسوآليست
santim,سانتيم
santimetre,سانتيمتره
santur,صانطور
sap,صاپ
sapa,صاپه
sapan,صاپان
sapanbalığı,صاپان باليغى
sapankıran,صاپان قيران
sapdırmak,صاپديرمق
sapırsapır,صاپير صاپير
sapırsupur,صاپير صوپور
sapıtmak,صاپيتمق
sapkın,صاپقين
saplamak,صاپلامق
saplanmak,صاپلانمق
saplatmak,صاپلاتمق
saplı,صاپلى
sapmak,صاپمق
sapsarı,صاپ‌صارى
sapsız,صاپسز
sar’a,سرعه
saraç,سراج
saraçhâne,سراجخانه
saraçlık,سراجلق
sarâhat,صراحت
sarâhaten,صراحةً
sar’alı,صرعه‌لى
sararmak,سارارمق
sarartmak,سارارتمق
saray,سراى
Sarayköy,سراى كوى
Saray,صراى
sardalya,صارداليه‌
sardalya,سارداليه
sardunya,ساردونيا
sarf,صرف
sarfî,صرفى
sargı,صارغى
sarhoş,سرخوش
sarhoşluk,سرخوشلق
sarı,صارى
sarıasma,صارى آصمه
sarıca,صاريجه
sarıcık,صاريجق
sarık,صاريق
Sarıkamış,صارى قاميش
sarıkanat,صارى قانات
sarıkavak,صارى قاواق
sarıklı,صاريقلى
sarılı,صاريلى
sarılık,صاريق
sarılmak,صاريلمق
sarımeşe,صارى ميشه
sarımsı,صاريمسى
sarımtrak,صاريمتراق
sarınmak,صارينمق
sarıot,صارى اوت
sarısabır,صارى صبر
sarısalkım,صارى سالقيم
sarışın,صاريشين
sarîh,صريح
sarkan,صارقان
sarkık,صارقيق
sarkılmak,صارقيلمق
sarkıntı,صارقينتى
sarkıntılık,صارقينتيلق
sarkıtmak,صارقيتمق
sarkma,صارقمه
sarkmak,صارقمق
sarma,صارمه
sarmak,صارمق
sarmaş dolaş,صارماش دولاش
sarmaşık,صارماشيق
sarmısak,صارمساق
sarmısaklı,صارمساقلى
sarnıc,صارنيج
sarnıc,صهرنج
sarp,صارپ
sarplaşmak,صارپلاشمق
sarraf,صراف
sarrâfîye,صرافيه
sarraflık,صرافلق
sarsar,صرصر
sarsılış,صارصياليش
sarsılma,صارصيلمه
sarsılmak,صارصيلمق
sarsıntı,صارصينتى
sarsma,صارصمه
sarsmak,صارصمق
sarsıklık,صارصيقلق
sası,صاصى
Sasun,صاصون
satan,صاتان
sataşmak,صاتاشمق
satdırmak,صاتديرمق
saten,صاتن
satıcı,صاتجى
satıcılık,صاتيجيلق
satıh,سطح
satılık,صاتيلق
satılma,صاتيلمه
satılmak,صاتيلمق
satılmış,صاتيلمش
satım,صاتيم
satın,صاتين
satın,صاتون
satınalmak,صاتون آلمق
satır,ساطير
satır,سطر
satırcı,ساطيرجى
satış,صاتيش
satma,صاتمه
satmak,صاتمق
satranç,صطرنج
satrançlı,صطرنجلى
satvet,سطوت
sava,صاوا
savâb,صواب
savacı,ساواجى
savak,صاواق
savan,صاوان
savaş,صاواش
savaşmak,صاواشمق
savat,صاوات
savatlı,صاواتلى
savlet,صولت
savmak,صاومق
savruk,صاوروق
savrulmak,صاورولمق
savsaklamak,صاوساقلامق
savt,صوت
savul,صاول
savulmak,صاولمق
savur,صاوور
savurmak,صاوورمق
savuşdurmak,صاووشديرمق
savuşmak,صاووشمق
savuşmaz,صاووشماز
sa’y,سعى
saya,صايا
saydelâni,سيدلانى
sâye,سايه
sâyedâr,سايه‌دار
sa’yetmek,سعى ايتمك
sayfiye,صيفيه
saygı,صايغى
saygılı,صايغيلى
saygısız,صايغيسز
saygısızlık,صايغيسزلق
sayha,صيحه
sayı,صايى
sayıcı,صاييجى
sayıklama,صاييقلامه
sayıklamak,صاييقلامق
sayılı,صاييلى
sayılmak,صاييلمق
sayın,صايين
sayılır,صاييلير
sayısız,صاييسز
saymak,صايمق
saymamazlık,صايمازلق
sayvan,صايوان
saz,ساز
sazan,سازان
sazcı,سازجى
sâzende,سازنده
sazlık,سازلق
se,سه
sebat,ثبات
sebatlı,ثباتلى
sebeb,سبب
sebebiyet,سببيت
sebebli,سببلى
sebebsiz,سببسز
sebil,سبيل
sebilci,سبيلجى
sebketmek,سبق ايتمك
sebze,سبزه
seccâde,سجاده
seccâdeci,سجاده‌جى
secde,سجده
seçî,سجع
seciye,سجيه
seciyeli,سجيه‌لى
seciyesiz,سجيه‌سز
seçdirmek,سچديرمك
seçici,سچيجى
seçilmek,سچلمك
seçim,سچيم
seçiş,سچيش
seçkin,سچكين
seçme,سچمه
seçmece,سچمه‌جه
seçmek,سچمك
sed,سد
sedef,صدف
sedefotu,صدف اوتى
sedir,سدير
sedye,سديه
sefâhet,سفاهت
sefâlet,سفالت
sefâret,سفارت
sefârethâne,سفارتخانه
sefer,سفر
seferber,سفربر
seferberlik,سفربرلك
seferi,سفرى
Seferihisar,سفريحصار
seferlik,سفرلك
sefertası,سفرطاسى
sefih,سفيه
sefil,سفيل
sefine,صفينه
sefir,سفير
seğâh,سگاه
seğirmek,سگرمك
seğirtmek,سگرتمك
seğmen,سگمن
seğmen,سگيان
seher,سحر
seherî,سحرى
sehim,سهم
sehiv,سهو
sehpâ,سهپا
sehven,سهواً
sekdirme,سكديرمه
sekdirmek,سكديرمك
sekene,سكنه
seki,سكى
sekilli,سكيلى
sekiz,سكز
sekizer,سكزر
sekizinci,سكزنجى
sekizli,سكزلى
sekizlik,سكزلك
sekme,سكمه
sekmek,سكمك
seksek,سكسك
seksen,سكسان
seksener,سكسانر
sekseninci,سكساننجى
seksenlik,سكسانلك
sekte,سكته
sektedâr,سكته‌دار
sel,سل
sel,سيل
selâm,سلام
selâmet,سلامت
selâmlamak,سلاملامق
selâmlaşmak,سلاملاشمق
selâmlık,سلاملق
selâset,سلاست
selâsetli,سلاستلى
seletıyn,سلاطين
selb,سلب
selçûkî,سلجوقى
sele,سله
selef,سلف
selika,سليقه
selim,سليم
selimiye,سليميه
selîs,سليس
sellüloid,سه‌لولوئيد
selvi,سلوى
selvi,سروى
selvilik,سلويلك
sem,سم
semâ,سماع
semâhâne,سماعخانه
semâhat,سماحت
semahatlû,سماحتلو
semâî,سماعى
semâvât,سماوات
semâvî,سماوى
semâyî,سماعى
semâî,سماعى
semen,سمن
semer,سمر
semerci,سمرجى
semercilik,سمرجيلك
semere,ثمره
semerli,سمرلى
semih,سميح
semirmek,سميرمك
semirtmek,سميرتمك
semiz,سميز
semizce,سميزجه
semizlik,سميزلك
semizotu,سميزاوت
sempati,سه‌مپاتى
semt,سمت
semturre’s,سمت الرأس
sen,سن
senâ,ثنا
senâkâr,ثناكار
sendelemek,سنده‌لمك
sendika,سنديقه
sene,سنه
sened,سند
senetleşmek,سندلشمك
senetli,سندلى
senevî,ثنوى
senevî,سنوى
senfoni,سه‌نفونى
senin,سنك
seninki,سنككى
senk,سنك
sepet,سپت
sepetçi,سپتجى
sepetleme,سپتلمه
sepetlik,سپتلك
septik,سه‌پتيك
serâb,سراب
serâir,سرائر
serâpâ,سرايا
serasker,سرعسكر
seraskerlik,سرعسكرلك
serbâz,سرباز
serbest,سربست
serbestî,سربستى
serbestlik,سربستلك
serçe,سرچه
serçeparmak,صرچه‌پارماق
serdâr,سردار
serdarlık,سردارلق
serdetmek,سرد ايتمك
serdirmek,سرديرمك
serefraz,سرافراز
seren,سرن
serenat,صره‌ناد
sereserpe,صره‌سرپه
seretan,سرطان
serfürû,سرفرو
sergerde,سرگرده
sergi,سرگى
sergüzeşt,سرگذشت
serhad,سرحد
serî,سريع
serîân,سريعاً
Serik,سريك
serili,سريلى
serilmek,سريلمك
serin,سرين
serinlemek,سرينلمك
serinlenmek,سرينلنمك
serinleşmek,سرينلشمك
serinletmek,سرينلتمك
serinlik,سرينلك
serîr,سرير
serîn,سريرى
serîriyât,سريريات
serkeş,سركش
serkeşlik,سركشلك
serlevha,سرلوحه
sermâye,سرمايه
sermâyedâr,سرمايه‌دار
sermâyeli,سرمايه‌لى
sermâyesiz,سرمايه‌سز
sermâyesizlik,سرمايه‌لك
serme,سرمه
sermed,سرمد
sermedî,سرمدى
sermek,سرمك
sermest,سرمست
sermestî,سرمستى
sermuharrir,سرمحرر
sermürettib,سرمرتب
serom,سروم
serpdirmek,سرپديرمك
serpilmek,سرپيلمك
serpinti,سرپينتى
serpişdirmek,سرپشديرمك
serpme,سرپمه
serpmek,سرپمك
serpuş,سرپوش
sersem,سرسم
sersemlemek,سرسمله‌مك
sersemlik,سرسملك
serseri,سرسرى
serserice,سرسريجه
serserilik,سرسريلك
sert,سرد
sert,سرت
sertlendirmek,سرتلنديرمك
sertlenmek,سرتللنمك
sertleşdirmek,سرتلشديرمك
sertleşmek,سرتلشمك
sertlik,سرتلك
servet,ثروت
servetli,ثروتلى
serzeniş,سرزش
ses,سس
seslemek,سسله‌مك
sesli,سسلى
sessiz,سسسز
set,ست
set,صت
setretmek,سترايتمك
setir,ستر
sevâb,ثواب
sevablı,ثوابلى
sevablık,ثوابلق
sevabık,ثوابق
sevdâ,سودا
sevdâlı,سودالى
sevdâzede,سودازده
sevdirmek,سوديرمك
sevgi,سوگى
sevgili,سوگيلى
sevilir,سويلير
sevilmek,سويلمك
sevim,سويم
sevimli,سويملى
sevimsiz,سويمسز
sevinç,سوينج
sevinçli,سوينجلى
sevindirmek,سوينديرمك
seviniş,سوينيش
sevinmek,سوينمك
sevir,ثور
sevişme,سويشمه
sevişmek,سويشمك
seviye,سويه
sevk,سوق
sevketmek,سوق ايتمك
sevkıyât,سوقيات
sevme,سومه
sevmek,سومك
seyâhat,سياحت
seyâhatnâme,سياحتنامه
seyelân,سيلان
seyir,سير
seyirci,سيرجى
seyis,سايس
Seyitgâzi,سيد غازى
seylâb,سيلاب
seyran,سيران
seyrek,سگرك
seyrek,سيرك
seyrekce,سگركجه
seyrekleşmek,سگركلشمك
seyrekleştirmek,سگركلشديرمك
seyreklik,سگركلك
seyretmek,سيرايتمك
seyyah,سياح
seyyâl,سيال
seyyar,سيار
seyyâre,سياره
seyyibe,ثيبه
seyyidlik,سييدلك
seyyie,سيّئه
sezâ,سزا
sezâvâr,سزاوار
sezdirmek,سزديردمك
sezgi,سزگى
sezilmek,سزيلمك
seziş,سزيش
sezme,سزمه
sezmek,سزمك
sezon,سه‌زون
sıbyan,صبيان
sıcacık,صيجاجق
sıcak,صيجاق
sıcakkanlı,صيجاق قانلى
sıcaklık,صيجاقلق
sıçan,صيچان
sıçandişi,صيچان ديشى
sıçankulağı,صيچان قولاغى
sıçanotu,صيچان اوتى
sıçanyolu,صيچان يولى
sıçramak,صيچرامق
sıçratmak,صيچراتمق
sıçrayıcı,صيچرايجى
sıdk,صدق
sıfat,صفت
sıfır,صفر
sığ,صيغ
sığamak,صيغامق
sığdırmak,صيغديرمق
sığınmak,صيغينمق
sığır,صيغير
sığırcık,صيغيرجق
sığırdili,صيغيرديلى
sığırgözü,صيغيركوزى
sığırlık,صيغيرلق
sığırtmaç,صيغيرتماج
sığışdırmak,صيغيشديرمق
sığışmak,صيغيشمق
sığlık,صيغلق
sığmak,صيغمق
sıhhat,صحت
sıhhiye,صحيه
sıhrî,صهرى
sıhriyet,صهريت
sık,صيق
sıkboğaz,صيق بوغاز
sıkı,صيقى
sıkıfıkı,صيق فيقى
sıkılma,صيقيلمه
sıkılmak,صيقيلمق
sıkıntı,صيقينتى
sıkışdırmak,صيقيشديرمق
sıkışmak,صيقيشمق
sıklam,صيقلام
sıklaşdırmak,صيقلاشديرمق
sıklaşmak,صيقلاشمق
sıklet,ثقلت
sıkletsiz,ثقلتسز
sıklık,صيقليق
sıkma,صيقمه
sıkmak,صيقمق
sıksık,صيق‌صيق
sıla,صله
sımsıkı,صيم‌صيق
sınâat,صناعت
zanaat,صناعت
sınâî,صناعى
sınamak,صينامق
sınanmak,صينانمق
Sındırgı,صينديرغى
sınıf,صنف
sınır,سينور
sınır,سنور
sınırdaş,سينورداش
sır,سر
sır,صير
sıra,صيره‌
sıra,صره
sıraca,صيراجه
sıracalı,صيراجه‌لى
sıralamak,صيره‌لامق
sıralanmak,صيره‌لانمق
sıralı,صيره‌لى
sırasız,صيره‌سز
sırat,صراط
sıratköprüsü,صراط كوپروسى
sıravârî,صيره‌وارى
sırça,صيرچه‌
sırça,صرچه
sırdaş,سرداش
sırf,صرف
sırık,صيرلق
sırım,صيريم
sırıtkan,صيريتقان
sırıtkanlık,صيريتقانلق
sırıtma,صيريتمه
sırıtmak,صيريتمق
sırma,صيرمه
sırmalı,صيرمه‌لى
sırmakeş,صيرمه‌كش
Sırp,صرپ
Sırplı,صرپلى
sırsıklam,صيرصيقلام
sırt,صيرت
sırt,صرت
sırtlamak,صيرتلامق
sırtlan,صيرتلان
sırtarmak,صيرتارمق
sıska,صيسقه
sıskalık,صيسقه‌لق
sıtma,صيتمه
sıtmalı,صيتمه‌لى
sıva,صيوا
sıvacı,صيواجى
sıvacılık,صيواجيلق
sıvalamak,صيوالامق
sıvalı,صيوالى
sıvama,صيوامه
sıvamak,صيوامق
sıvanmak,صيغانمق
sıvanmak,صيوانمق
sıvazlamak,صيوازلامق
sıvış,سيويش
sıvışmak,سيويشمق
sıvışmak,سيويشمك
sivişmek,سيويشمك
sıyânet,سيانت
sıyırmak,صييرمق
sıyrık,صييريق
sıyrılmak,صييريلمق
sıyrıntı,صييرينتى
sızdırmak,صييرديرمق
sızı,صيزى
sızıltı,صيزيلتى
sızıntı,صيزينتى
sızırmak,صيزيرمق
sızlanma,صيزلانمه
sızlanmak,صيزلانمق
sızlatmak,صيزلاتمق
sızlık,سزلق
sızmak,صيزمق
si,سى
sicil,سجل
sicilli,سجللى
sicim,سجيم
sifon,سيقون
siftah,سفتاح
seftah,سفتاح
siftahlamak,سفتاحلامق
siftinmek,سيفتينمك
siga,صيغه
sigâr,سيغار
sigara,سيغارا
sigara,سيغار
sigorta,سيغورطه
sigortacı,سيغورطه‌جى
sigortalı,سيغورطه‌لى
siğil,سيگيل
sihir,سحر
sihirbaz,سحرباز
sihirbazlık,سحربازلق
sihirlemek,سحرلمك
sihirli,سحرلى
sihrî,سحرى
Siirt,سعرد
sipihr,سپهر
sikke,سكه
siklon,سيقلون
silâh,سلاح
silâhendâz,سلاح انداز
silâhendazlık,سلاح اندازلق
silâhdar,سلاحدار
silâhdarlık,سلاحدارلق
silâhhâne,سلاحخانه
silâhlandırmak,سلاحلانديرمق
silâhlı,سلاحلى
silâhlık,سلاحلق
silâhsız,سلاحسز
silâhşor,سلاحشور
silâhşorlük,سلاحشورلق
sildirmek,سيلديرمك
silecek,سيله‌جك
silgi,سيلگى
silici,سيليجى
silik,سيليك
silindir,سيليندير
silindir,سيليندير
silinmek,سيلنمك
silinti,سيلينتى
Silivri,سلورى
silk,سلك
silkme,سيلكمه
silkmek,سيلكمك
silkinti,سيلكينتى
sille,سلله
sille,سيلله
silme,سيلمه
silmek,سيلمك
silmetahtası,سيلمه‌تخته‌سى
silsile,سلسله
silsilenâme,سلسله‌نامه
Silvan,سلوان
sim,سيم
simâ,سيما
Simav,سيماو
simsar,سمسار
simsar,سيمسار
simsâriye,سمساريه
simsarlık,سمسارلق
simyâ,سيميا
sin,سين
sin,سيڭ
sin,سن
sin,سڭ
sinameki,سنامكى
sinan,سنان
sincab,سنجاب
sincâbî,سنجابى
sindirmek,سينديرمك
sindirmek,سيڭديرمك
sîne,سينه
sinek,سينك
sineklik,سينكلك
sinema,سينه‌ما
sinematoğraf,سينه‌ماتوغراف
sini,سينى
sinir,سينير
sinir,سيڭير
sinirlenmek,سينيرلنمك
sinirli,سينيرلى
sinirlilik,سينيرليلك
siniz,سڭز
sinmek,سينمك
sinmek,سيكمك
sinmez,سينمز
sinnen,سناً
Sinop,سينوپ
sinsi,سينسى
